; Kepler light curve for kplr005110407.
; Quarter 02
; CBVs have been removed.
; Column 1:  Time from the Kepler .fits files (MBJD)
; Column 2:  Normalized flux with CBVs removed
; Column 3:  Errors on the original SAP data
    179.3491986       2051.3721       2.3035123
    179.3696329       2052.9982       2.3036880
    179.4105011       2060.2087       2.3047507
    179.4309353       2061.1535       2.3047519
    179.4513694       2063.2764       2.3051801
    179.4718036       2065.3185       2.3053317
    179.4922378       2065.1134       2.3052802
    179.5126719       2069.9137       2.3060367
    179.5331061       2079.2315       2.3071754
    179.5535402       2074.8986       2.3065970
    179.5739744       2079.9373       2.3073580
    179.5944086       2083.2366       2.3078904
    179.6148427       2084.6764       2.3079495
    179.6352770       2089.0485       2.3085673
    179.6557110       2086.2115       2.3083513
    179.6761452       2090.5168       2.3086746
    179.7170135       2098.4230       2.3099189
    179.7374477       2097.2565       2.3099012
    179.7578817       2107.9205       2.3113444
    179.7783160       2107.4427       2.3112502
    179.7987502       2113.0088       2.3117867
    179.8191843       2112.1018       2.3117645
    179.8396184       2121.2163       2.3130205
    179.8600526       2122.8001       2.3132048
    179.8804868       2125.6782       2.3136289
    179.9213551       2131.1829       2.3144877
    179.9417893       2132.0992       2.3145826
    179.9622233       2140.4910       2.3155828
    179.9826575       2136.3724       2.3151937
    180.0030917       2139.7549       2.3156936
    180.0235258       2141.3712       2.3159146
    180.0439599       2142.9541       2.3159895
    180.0643942       2142.8242       2.3160052
    180.0848282       2147.6169       2.3166583
    180.1052624       2144.1547       2.3162074
    180.1256966       2151.8416       2.3171713
    180.1461308       2150.7573       2.3170619
    180.1665649       2156.6263       2.3178744
    180.1869990       2157.7223       2.3181572
    180.2074333       2158.7539       2.3181570
    180.2278673       2161.3472       2.3185129
    180.2483015       2163.0312       2.3186750
    180.6569845       2174.3007       2.3203557
    180.6774185       2172.8856       2.3200541
    180.6978527       2170.1161       2.3198714
    180.7182869       2169.1478       2.3194432
    180.7387210       2168.7893       2.3195872
    180.7591551       2168.2366       2.3193555
    180.7795894       2164.9704       2.3189473
    180.8000234       2165.6370       2.3191023
    180.8204576       2162.8877       2.3187957
    180.8408917       2160.9679       2.3184133
    180.8613258       2165.2160       2.3189137
    180.8817600       2160.3473       2.3182757
    180.9021941       2157.0611       2.3179674
    180.9226284       2156.9716       2.3179634
    180.9430624       2152.3569       2.3173072
    180.9634966       2153.9403       2.3174372
    180.9839306       2147.5530       2.3166409
    181.0043649       2149.4941       2.3168838
    181.0247990       2150.6607       2.3169200
    181.0452330       2144.3193       2.3161526
    181.0656673       2141.5505       2.3156114
    181.0861014       2141.1375       2.3156986
    181.1065356       2134.4086       2.3146784
    181.1269696       2131.9167       2.3144710
    181.1474039       2132.6986       2.3146286
    181.1678380       2129.7322       2.3141274
    181.1882720       2125.8585       2.3135524
    181.2087062       2121.8051       2.3131781
    181.2291404       2118.5530       2.3126004
    181.2495745       2115.3698       2.3125105
    181.2700086       2112.9287       2.3117898
    181.2904428       2111.1821       2.3115993
    181.3108769       2109.4249       2.3112178
    181.3313110       2102.9969       2.3104584
    181.3517451       2103.0159       2.3105102
    181.3721794       2096.5382       2.3097408
    181.3926134       2092.7261       2.3092589
    181.4130476       2088.7991       2.3084261
    181.4334818       2084.7187       2.3079858
    181.4539158       2080.7210       2.3073866
    181.4743500       2079.4758       2.3071351
    181.4947840       2074.3839       2.3064837
    181.5152182       2073.4951       2.3062778
    183.7221027       2116.6659       2.3150423
    183.7425368       2116.7612       2.3150349
    183.7629709       2118.0697       2.3151271
    183.7834050       2120.0949       2.3153400
